日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2017年03月,金門縣,9200004,0.421,10525703,0.4817,215830,0.0099,1909991,0.0874,21851528,0.0013
2017年03月,連江縣,2190667,0.4042,2784672,0.5138,16118,0.003,428720,0.0791,5420177,0.0003
2017年03月,合計,3248113875,0.1982,3565804953,0.2176,211733848,0.0129,9360576507,0.5712,16386229183,1
2017年02月,新北市,553542817,0.408,442718226,0.3263,1538121,0.0011,359078871,0.2646,1356878035,0.0915
2017年02月,台北市,351628270,0.3455,634548003,0.6234,1234834,0.0012,30392481,0.0299,1017803588,0.0686
2017年02月,桃園市,341987370,0.168,311066288,0.1528,2193530,0.0011,1380638385,0.6782,2035885573,0.1372
2017年02月,台中市,391082612,0.1983,443441166,0.2249,10894755,0.0055,1126272929,0.5712,1971691462,0.1329
2017年02月,台南市,259188154,0.1363,237521811,0.1249,26020454,0.0137,1379528692,0.7252,1902259111,0.1282
2017年02月,高雄市,324554987,0.1612,403066669,0.2002,18040587,0.009,1267535275,0.6296,2013197518,0.1357
2017年02月,宜蘭縣,64044069,0.2673,56491993,0.2358,4349210,0.0182,114714093,0.4788,239599365,0.0161
2017年02月,新竹縣,82786500,0.1207,73042492,0.1065,1373477,0.002,528858946,0.7709,686061415,0.0462
2017年02月,苗栗縣,62181715,0.1228,56295429,0.1111,1654612,0.0033,386439491,0.7629,506571247,0.0341
2017年02月,彰化縣,162725037,0.2099,162068015,0.2091,29880458,0.0385,420480745,0.5424,775154255,0.0522
2017年02月,南投縣,70013243,0.325,53828031,0.2499,8385843,0.0389,83193316,0.3862,215420433,0.0145
2017年02月,雲林縣,89517621,0.2252,61314981,0.1542,27942774,0.0703,218762589,0.5503,397537965,0.0268
